round,decode_step,position,step_energy_mj,active_requests,per_token_energy_mj
0,462,462,79964.9999,28,2855.8929
0,463,463,79850.0001,28,2851.7857
0,464,464,79293.9999,28,2831.9286
0,465,465,81968.9999,28,2927.4643
0,466,466,80788.0,28,2885.2857
0,467,467,81349.0002,28,2905.3214
0,468,468,79537.9997,28,2840.6428
0,469,469,79383.0001,28,2835.1071
0,470,470,81824.0,28,2922.2857
0,471,471,78677.0,28,2809.8929
0,472,472,79938.0002,28,2854.9286
0,473,473,82061.0,28,2930.75
0,474,474,79335.0003,28,2833.3929
0,475,475,80615.0,28,2879.1071
0,476,476,78596.0,28,2807.0
0,477,477,79047.0001,28,2823.1071
0,478,478,79419.0,28,2836.3929
0,479,479,81945.0001,28,2926.6071
0,480,480,83317.0,28,2975.6071
0,481,481,80895.0,28,2889.1071
0,482,482,80147.9999,28,2862.4286
0,483,483,80348.0003,28,2869.5714
0,484,484,80486.0001,28,2874.5
0,485,485,81902.9999,28,2925.1071
0,486,486,79093.0002,28,2824.75
0,487,487,80010.9998,28,2857.5357
0,488,488,85592.9998,28,3056.8929
0,489,489,77795.9999,28,2778.4286
0,490,490,79583.0002,28,2842.25
0,491,491,82004.0002,28,2928.7143
0,492,492,79981.9998,28,2856.5
0,493,493,80444.0,28,2873.0
0,494,494,80132.0002,28,2861.8572
0,495,495,79579.9997,28,2842.1428
0,496,496,80532.0001,28,2876.1429
0,497,497,79558.0001,28,2841.3571
0,498,498,79720.0001,28,2847.1429
0,499,499,80621.9999,28,2879.3571
0,500,500,79372.0001,28,2834.7143
0,501,501,79530.9999,28,2840.3929
0,502,502,81016.0002,28,2893.4286
0,503,503,79635.0001,28,2844.1071
0,504,504,83688.9999,28,2988.8929
0,505,505,81759.9999,28,2920.0
0,506,506,79676.9999,28,2845.6071
0,507,507,80797.0002,28,2885.6071
0,508,508,78963.9999,28,2820.1429
0,509,509,79617.0,28,2843.4643
0,510,510,82280.9999,28,2938.6071
0,511,511,79657.0002,27,2950.2593
0,512,512,80744.9999,27,2990.5556
0,513,513,81448.0001,27,3016.5926
0,514,514,79429.9999,26,3055.0
0,515,515,80237.9998,26,3086.0769
0,516,516,78648.0001,26,3024.9231
0,517,517,78735.0001,26,3028.2692
0,518,518,80365.9999,26,3091.0
0,519,519,79173.9999,26,3045.1538
0,520,520,78682.0,26,3026.2308
0,521,521,79529.0,26,3058.8077
0,522,522,79454.0,26,3055.9231
0,523,523,79970.9998,26,3075.8077
0,524,524,79086.0001,26,3041.7692
0,525,525,79646.0,26,3063.3077
0,526,526,80822.0,26,3108.5385
0,527,527,79895.0001,26,3072.8846
0,528,528,79969.0001,26,3075.7308
0,529,529,80189.9997,26,3084.2308
0,530,530,81045.9999,26,3117.1538
0,531,531,80469.0001,26,3094.9615
0,532,532,80289.0002,26,3088.0385
0,533,533,79069.0,26,3041.1154
0,534,534,79388.9999,26,3053.4231
0,535,535,81861.0001,26,3148.5
0,536,536,79503.0003,26,3057.8077
0,537,537,82077.9998,26,3156.8461
0,538,538,78888.0,26,3034.1538
0,539,539,79459.9998,26,3056.1538
0,540,540,80992.0002,26,3115.0769
0,541,541,80402.0,26,3092.3846
0,542,542,81494.0,26,3134.3846
0,543,543,80573.9999,26,3099.0
0,544,544,83891.0,26,3226.5769
0,545,545,80809.9998,26,3108.0769
0,546,546,80290.9999,26,3088.1154
0,547,547,78950.0,26,3036.5385
0,548,548,80503.0001,26,3096.2692
0,549,549,80660.9997,26,3102.3461
0,550,550,80706.9999,26,3104.1154
0,551,551,82932.0,26,3189.6923
0,552,552,80383.9999,26,3091.6923
0,553,553,81844.9999,26,3147.8846
0,554,554,78708.0002,26,3027.2308
0,555,555,79576.9999,26,3060.6538
0,556,556,80732.9998,26,3105.1154
0,557,557,80444.0,26,3094.0
0,558,558,80404.9999,26,3092.5
0,559,559,78989.0002,26,3038.0385
0,560,560,80181.9998,26,3083.9231
0,561,561,81020.9999,26,3116.1923
0,562,562,79324.0002,26,3050.9231
0,563,563,80403.9998,26,3092.4615
0,564,564,79708.0002,26,3065.6923
0,565,565,79146.0,26,3044.0769
0,566,566,80629.0002,26,3101.1154
0,567,567,82457.9998,26,3171.4615
0,568,568,79245.9999,26,3047.9231
0,569,569,81525.0,26,3135.5769
0,570,570,78846.0,26,3032.5385
0,571,571,79439.0001,25,3177.56
0,572,572,80148.0,25,3205.92
0,573,573,78395.9999,25,3135.84
0,574,574,80422.9999,25,3216.92
0,575,575,81068.0002,25,3242.72
0,576,576,79832.9998,25,3193.32
0,577,577,81347.9999,25,3253.92
0,578,578,78096.0002,25,3123.84
0,579,579,78809.0,25,3152.36
0,580,580,81227.9998,25,3249.12
0,581,581,79659.0003,25,3186.36
0,582,582,80589.9999,25,3223.6
0,583,583,78670.9999,25,3146.84
0,584,584,79515.9999,25,3180.64
0,585,585,82738.0003,25,3309.52
0,586,586,77773.9997,25,3110.96
0,587,587,78633.0001,25,3145.32
0,588,588,81683.0002,25,3267.32
0,589,589,78387.9999,25,3135.52
