position,mean_energy_mj,std_energy_mj,min_energy_mj,max_energy_mj,count,active_requests,step_energy_mj,phase
160,2622.9678,42.4821,2574.1034,2651.1333,3,30,78689.0346,decode
161,2575.2126,65.4496,2501.1667,2625.3333,3,30,77256.3794,decode
162,2551.7368,73.1782,2468.4,2605.5,3,30,76552.1034,decode
163,2571.0261,35.5498,2532.3448,2602.2667,3,30,77130.7816,decode
164,2602.7598,21.6565,2578.3793,2619.7667,3,30,78082.7932,decode
165,2604.8617,36.0629,2574.3667,2644.6667,3,30,78145.8507,decode
166,2556.7613,96.1446,2468.5333,2659.2333,3,30,76702.8389,decode
167,2596.0115,6.9765,2588.0333,2600.9667,3,30,77880.3449,decode
168,2605.7306,10.0298,2596.8333,2616.6,3,30,78171.9195,decode
169,2547.0249,86.7267,2473.2667,2642.5667,3,30,76410.7472,decode
170,2584.6663,47.5522,2530.3333,2618.7,3,30,77539.9885,decode
171,2604.2364,9.6194,2595.1333,2614.3,3,30,78127.092,decode
172,2587.4529,133.8007,2491.3333,2740.2667,3,30,77623.5861,decode
173,2539.1789,101.1616,2423.9667,2613.4667,3,30,76175.3678,decode
174,2619.5533,16.9505,2600.7931,2633.7667,3,30,78586.5977,decode
175,2584.2644,92.3756,2493.7931,2678.4333,3,30,77527.9312,decode
176,2600.2897,128.6136,2467.3333,2724.069,3,30,78008.6896,decode
177,2622.2992,47.5672,2572.931,2667.8333,3,30,78668.9771,decode
178,2616.6195,32.4206,2581.7586,2645.8667,3,30,78498.5863,decode
179,2559.7249,95.6369,2490.2414,2668.8,3,30,76791.747,decode
180,2584.0042,120.6662,2446.0,2669.6333,3,30,77520.1265,decode
181,2626.9743,16.4387,2616.6897,2645.9333,3,30,78809.2299,decode
182,2536.1241,58.5384,2485.1724,2600.0667,3,30,76083.7241,decode
183,2588.3912,81.0728,2497.1667,2652.2069,3,30,77651.7357,decode
184,2629.4142,61.8159,2588.2759,2700.5,3,30,78882.4253,decode
185,2562.1728,28.2716,2530.4,2584.5517,3,30,76865.1839,decode
186,2588.7475,66.0874,2517.6333,2648.2759,3,30,77662.4253,decode
187,2649.3893,71.7555,2597.8,2731.3333,3,30,79481.6782,decode
188,2584.972,89.1248,2487.4828,2662.2667,3,30,77549.1609,decode
189,2578.4981,85.2557,2480.8,2637.8276,3,30,77354.9425,decode
190,2536.4276,119.2135,2452.0,2672.8,3,30,76092.8276,decode
191,2592.0115,18.7375,2573.0345,2610.5,3,30,77760.3448,decode
192,2590.9395,108.5645,2465.6,2655.5517,3,30,77728.1838,decode
193,2628.7996,128.5021,2489.9655,2743.5667,3,30,78863.9885,decode
194,2538.8785,60.0558,2470.5,2583.0667,3,30,76166.3564,decode
195,2620.9333,52.942,2561.0,2661.3333,3,30,78627.9999,decode
196,2590.6123,38.5555,2552.8333,2629.9,3,30,77718.368,decode
197,2565.2533,41.9585,2520.8,2604.1667,3,30,76957.5975,decode
198,2647.441,72.9523,2581.3,2725.6897,3,30,79423.2299,decode
199,2634.0034,46.9524,2595.5,2686.3103,3,30,79020.1034,decode
200,2552.6548,93.578,2444.6667,2609.931,3,30,76579.6437,decode
201,2588.6441,54.5057,2545.9333,2650.0333,3,30,77659.3218,decode
202,2661.3705,18.177,2645.8,2681.3448,3,30,79841.1148,decode
203,2600.9456,80.6583,2510.7333,2666.1034,3,30,78028.3679,decode
204,2597.7134,95.2564,2528.5667,2706.3667,3,30,77931.4022,decode
205,2609.1724,56.4261,2552.5172,2665.3667,3,30,78275.1724,decode
206,2635.9755,82.2688,2554.2667,2718.7931,3,30,79079.2643,decode
207,2560.1693,87.6846,2459.0,2614.2414,3,30,76805.0805,decode
208,2654.0858,52.5936,2608.7,2711.7241,3,30,79622.5747,decode
209,2660.9605,72.0115,2580.6552,2719.7931,3,30,79828.816,decode
210,2555.1625,87.7381,2486.0345,2653.8667,3,30,76654.8736,decode
211,2680.2069,43.2017,2652.6897,2730.0,3,30,80406.2069,decode
212,2654.0766,14.2508,2642.3333,2669.931,3,30,79622.2989,decode
213,2642.8054,93.5937,2535.5517,2707.9333,3,30,79284.161,decode
214,2660.6567,73.6502,2587.8667,2735.1379,3,30,79819.7011,decode
215,2621.7264,61.7787,2564.8966,2687.4828,3,30,78651.7932,decode
216,2618.2716,52.2003,2569.5517,2673.3667,3,30,78548.1493,decode
217,2583.9966,42.8487,2537.9655,2622.7241,3,30,77519.8966,decode
218,2639.049,47.3143,2589.7333,2684.069,3,30,79171.4713,decode
219,2647.4042,38.0844,2606.8966,2682.4828,3,30,79422.1265,decode
220,2545.3479,112.6794,2421.931,2642.7333,3,30,76360.4368,decode
221,2585.9525,29.3773,2558.7931,2617.1333,3,30,77578.5748,decode
222,2667.1701,35.3827,2634.2,2704.5517,3,30,80015.1035,decode
223,2594.9893,12.695,2580.9333,2605.6207,3,30,77849.678,decode
224,2604.2682,92.7999,2525.7241,2706.6667,3,30,78128.0461,decode
225,2631.5659,38.1337,2605.5862,2675.3448,3,30,78946.977,decode
226,2650.5724,32.6978,2618.2,2683.5862,3,30,79517.1725,decode
227,2631.5448,43.3998,2584.0,2669.0345,3,30,78946.3448,decode
228,2615.2946,59.2455,2548.8621,2662.6552,3,30,78458.8392,decode
229,2666.2851,79.9333,2607.3793,2757.2759,3,30,79988.5517,decode
230,2670.8567,78.6472,2592.1724,2749.4667,3,30,80125.7011,decode
231,2678.5,31.4155,2650.5172,2712.4828,3,30,80355.0,decode
232,2677.549,28.4188,2654.3103,2709.2333,3,30,80326.4712,decode
233,2581.0092,45.9876,2540.8966,2631.2,3,30,77430.2759,decode
234,2622.9456,45.4641,2582.7931,2672.3103,3,30,78688.3678,decode
235,2623.672,62.8172,2587.2759,2696.2069,3,30,78710.161,decode
236,2658.9195,67.0755,2589.4483,2723.3104,3,30,79767.5862,decode
237,2632.6295,32.0576,2609.5517,2669.2333,3,30,78978.8851,decode
238,2642.0759,36.1987,2600.3104,2664.4,3,30,79262.2759,decode
239,2663.2992,33.1846,2639.6897,2701.2414,3,30,79898.9771,decode
240,2648.3908,31.3314,2617.3448,2680.0,3,30,79451.7241,decode
241,2608.8701,20.2941,2596.7931,2632.3,3,30,78266.1035,decode
242,2651.4272,69.9506,2570.6552,2691.8333,3,30,79542.8162,decode
243,2594.392,59.9024,2538.0,2657.2759,3,30,77831.7586,decode
244,2631.6299,68.6206,2564.0,2701.2,3,30,78948.8964,decode
245,2682.3494,110.1437,2560.2414,2774.2069,3,30,80470.4828,decode
246,2628.9134,4.7179,2623.5333,2632.3448,3,30,78867.4023,decode
247,2706.2023,81.9761,2612.1379,2762.4,3,30,81186.069,decode
