round,request_idx,pool_idx,source,prompt_len,generated_tokens,inject_time_s,is_warmup,request_id
0,250,10,LongForm,12,0,460.08,False,stream_139960412207088_250_14160471844535376
0,251,11,python_code,14,0,462.08,False,stream_139960412207088_251_14160473842332467
0,252,12,WizardLM,133,0,464.0,False,stream_139960412207088_252_14160475766304501
0,253,13,python_code,18,0,466.1,False,stream_139960412207088_253_14160477861239422
0,254,14,python_code,50,0,468.02,False,stream_139960412207088_254_14160479785758124
0,255,15,WizardLM,154,0,470.03,False,stream_139960412207088_255_14160481794062506
0,256,16,WizardLM,16,0,472.07,False,stream_139960412207088_256_14160483838507838
0,257,17,WizardLM,66,0,474.08,False,stream_139960412207088_257_14160485842599386
0,258,18,LongForm,15,0,476.09,False,stream_139960412207088_258_14160487852636929
0,259,19,LongForm,263,0,478.09,False,stream_139960412207088_259_14160489858742343
0,260,0,python_code,50,0,480.1,False,stream_139960412207088_260_14160491862280549
0,261,1,WizardLM,14,0,482.1,False,stream_139960412207088_261_14160493865444841
0,262,2,python_code,50,0,484.0,False,stream_139960412207088_262_14160495769915824
0,263,3,WizardLM,82,0,486.03,False,stream_139960412207088_263_14160497793673541
0,264,4,python_code,13,0,488.04,False,stream_139960412207088_264_14160499806118082
0,265,5,python_code,47,0,490.08,False,stream_139960412207088_265_14160501843328655
0,266,6,python_code,15,0,492.08,False,stream_139960412207088_266_14160503848596701
0,267,7,LongForm,395,0,494.09,False,stream_139960412207088_267_14160505852405285
0,268,8,WizardLM,140,0,496.1,False,stream_139960412207088_268_14160507861321922
0,269,9,LongForm,14,0,498.06,False,stream_139960412207088_269_14160509822867381
0,270,10,LongForm,12,0,500.1,False,stream_139960412207088_270_14160511864910929
0,271,11,python_code,14,0,502.04,False,stream_139960412207088_271_14160513810551374
0,272,12,WizardLM,133,0,504.08,False,stream_139960412207088_272_14160515850420116
0,273,13,python_code,18,0,506.05,False,stream_139960412207088_273_14160517817628570
0,274,14,python_code,50,0,508.1,False,stream_139960412207088_274_14160519861553579
0,275,15,WizardLM,154,0,510.06,False,stream_139960412207088_275_14160521826485249
